deep, 深い
exciting, わくわくさせるような
finish, 終える
postcard, はがき
broken, 壊れた
popular, 人気のある
believe, 信じる
medicine, 薬
draw, 描く
speech, スピーチ
fit, に合う
heavily, 激しく
difficult, 難しい
return, 返す
save, 貯める
toothache, 歯痛
button, ボタン
foreign, 外国の
airport, 空港
fever, 熱
million, 100万
cool, 涼しい
fun, 楽しみ
drive, 運転する
sound, 音
somewhere, どこかに
handle, 扱う
guide, 案内人
meal, 食事
safely, 安全に
straight, まっすぐな
guess, 推測する
guest, 客
above, ～の上の
hallway, 廊下
clean, 清潔な
wrong, 誤った
message, 伝言
cry, 泣く
hate, 憎む
hole, 穴
future, 未来
science, 科学
outside, 外に
shut, 閉める
plant, 植物
meaning, 意味
professional, プロの
spend, (時間やお金を)使う
break, 休憩
host family, ホストファミリー
quickly, 素早く
careful, 注意深い
cousin, いとこ
hospital, 病院
turn, 曲がる
culture, 文化
key, 鍵
wallet, 財布
international, 国際的な
score, 点数
wedding, 結婚式
tourist, 観光客
photo, 写真
festival, 祭り
event, 行事
serve, (食べ物を)出す
recipe, レシピ
catch, 捕まえる
unhappy, 不幸な
smart, 賢い
real, 本当の
exchange, 交換する
apply, 申し込む
address, 住所
fan, ファン
another, もう一つの
silent, 静かな
temple, 寺
bargain, お買い得品
tour, 観光旅行
fire, 火
driver's license, 運転免許証
share, 分け合う
report, 報告書
ocean, 海
traditional, 伝統的な
theater, 劇場
sightseeing, 観光
cheap, 安い
neighborhood, 近所
decide, 決める
delicious, おいしい
windy, 風の強い
several, いくつかの
ghost story, 怖い話
cafeteria, カフェテリア
post office, 郵便局
grass, 草
seat, 席
order, 注文する
land, 着陸する
volunteer, ボランティア
lend, 貸す
surprised, 驚いた
boring, 退屈な
receive, 受け取る
weather, 天気
colorful, カラフルな
husband, 夫
perform, 演じる
poem, 詩
say, 言う
cosmetic, 化粧品
without, 〜なしで
abroad, 外国へ
someday, いつか
magazine, 雑誌
sometime, いつか
famous, 有名な
judge, 裁判官
thirsty, のどが渇いた
kindly, 親切に
especially, 特に
engineer, 技術者
sale, 販売
downtown, 中心街
cute, かわいい
match, 似合う
clear, 澄んだ
view, 景色
midnight, 真夜中
wooden, 木製の
cancel, 中止する
pull, 引く
ready, 準備ができた
appointment, 予約
mail, 郵便
dirty, 汚れた
flood, 洪水
minute, 分
vending machine, 自動販売機
ring, 鳴る
nervous, 緊張した
date, 日付
college, 大学
program, 番組
usual, いつもの
instead, 代わりに
floor, 床
flight, (飛行機の)便
borrow, 借りる
across, 横切って
beach, 浜辺
purse, 財布
excited, わくわくした
expensive, 高価な
shock, ショック
miss, 乗り過ごす
need, 必要とする
clothes, 服
last, 最後の
grammar, 文法
loud, うるさい
block, (街の)1区画
cloud, 雲
drugstore, ドラッグストア
