apple,りんご
book,本
cat,猫
dog,犬
egg,卵
fish,魚
girl,女の子
house,家
ice,氷
job,仕事
king,王様
lake,湖
man,男性
name,名前
ocean,海
pen,ペン
queen,女王
red,赤
sun,太陽
tree,木
up,上
very,とても
water,水
yes,はい
zoo,動物園
bag,バッグ
car,車
day,日
eye,目
food,食べ物
game,ゲーム
hat,帽子
idea,アイデア
juice,ジュース
key,鍵
long,長い
music,音楽
new,新しい
old,古い
park,公園
quick,速い
room,部屋
school,学校
time,時間
use,使う
visit,訪問する
walk,歩く
box,箱
year,年
zoo,動物園
blue,青
green,緑
white,白
black,黒
small,小さい
big,大きい
good,良い
bad,悪い
hot,熱い
cold,冷たい
happy,幸せな
sad,悲しい
boy,男の子
baby,赤ちゃん
mother,母
father,父
sister,姉妹
brother,兄弟
friend,友達
teacher,先生
student,生徒
family,家族
table,テーブル
chair,椅子
bed,ベッド
door,扉
window,窓
wall,壁
floor,床
roof,屋根
garden,庭
kitchen,台所
morning,朝
afternoon,午後
evening,夕方
night,夜
today,今日
yesterday,昨日
tomorrow,明日
week,週
month,月
spring,春
summer,夏
fall,秋
winter,冬
rain,雨
snow,雪
wind,風
cloud,雲
flower,花
grass,草
animal,動物
bird,鳥
horse,馬
cow,牛
pig,豚
chicken,鶏
rice,米
bread,パン
milk,牛乳
tea,お茶
coffee,コーヒー
cake,ケーキ
breakfast,朝食
lunch,昼食
dinner,夕食
head,頭
face,顔
hair,髪
nose,鼻
mouth,口
ear,耳
hand,手
foot,足
arm,腕
leg,脚
one,一
two,二
three,三
four,四
five,五
six,六
seven,七
eight,八
nine,九
ten,十
here,ここ
there,そこ
where,どこ
what,何
when,いつ
who,誰
how,どのように
this,これ
that,あれ
these,これら
those,あれら
my,私の
your,あなたの
his,彼の
her,彼女の
our,私たちの
their,彼らの
I,私
you,あなた
he,彼
she,彼女
we,私たち
they,彼ら
am,です
is,です
are,です
was,でした
were,でした
have,持っている
has,持っている
had,持っていた
do,する
does,する
did,した
will,するでしょう
can,できる
like,好き
want,欲しい
go,行く
come,来る
see,見る
look,見る
get,得る
give,与える
take,取る
put,置く
make,作る
know,知る
think,思う
say,言う
tell,言う
ask,尋ねる
help,助ける
work,働く
play,遊ぶ
study,勉強する
read,読む
write,書く
eat,食べる
drink,飲む
sleep,眠る
run,走る
swim,泳ぐ
sing,歌う
dance,踊る
buy,買う
sell,売る
open,開ける
close,閉める
start,始める
stop,止める
finish,終える
begin,始める
end,終わる
live,住む
stay,滞在する
move,動く
sit,座る
stand,立つ
lie,横になる
